Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java/,"org.apache.hedwig.conf.AbstractConfiguration",release-4.1.0,37,9,4,0,1,5,1,9,6.0,10.0,25.84962500721156,0.9,23.264662506490406,0,0,0,1,0,1,2,1,1,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java/,"org.apache.bookkeeper.client.PendingAddOp",release-4.1.0,132,68,22,10,8,50,45,146,58.0,191.0,1118.8743700693663,11.68,13068.452642410197,2,0,1,1,0,4,6,2,3,no,yes
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java/,"org.apache.hedwig.client.netty.HedwigSubscriber",release-4.1.0,622,291,73,44,8,154,118,743,162.0,861.0,6319.610852483662,19.2987012987013,121960.28216611328,6,1,1,1,1,13,17,4,12,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java/,"org.apache.bookkeeper.proto.NIOServerFactory.PacketProcessor",release-4.1.0,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,yes,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java/,"org.apache.hedwig.server.handlers.PublishHandler",release-4.1.0,43,20,3,1,3,37,4,55,40.0,59.0,313.9937575983544,2.22972972972973,700.1212162666011,1,0,0,1,0,0,1,1,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java/,"org.apache.hedwig.util.HedwigSocketAddress",release-4.1.0,113,46,17,4,8,28,27,78,36.0,105.0,542.8421251514428,11.142857142857142,6048.8122516875055,1,0,1,1,0,0,2,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java/,"org.apache.bookkeeper.client.BKException.BKDigestMatchException",release-4.1.0,5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/,"org.apache.bookkeeper.bookie.BookieException.LedgerFencedException",release-4.1.0,5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java/,"org.apache.bookkeeper.proto.BKStats.OpStats",release-4.1.0,92,53,17,8,11,31,51,104,42.0,155.0,835.8092005307079,18.451612903225808,15422.027829147257,3,0,1,1,1,0,3,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/,"org.apache.bookkeeper.client.BookKeeperAdmin.SingleFragmentCallback",release-4.1.0,84,19,4,1,3,25,7,40,28.0,47.0,225.94568133670737,2.4000000000000004,542.2696352080977,1,0,1,1,0,6,8,5,5,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/,"org.apache.bookkeeper.bookie.Bookie.NoLedgerException",release-4.1.0,11,5,2,0,2,4,3,6,6.0,9.0,23.264662506490403,1.5,34.89699375973561,0,0,0,0,0,0,0,20,0,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java/,"org.apache.hedwig.server.jmx.HedwigJMXService",release-4.1.0,14,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.HelpCmd",release-4.1.0,19,14,4,3,3,12,3,17,15.0,20.0,78.13781191217038,2.125,166.04285031336207,2,0,0,1,0,0,1,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/,"org.apache.bookkeeper.client.BookKeeper.SyncDeleteCallback",release-4.1.0,15,4,1,0,0,5,0,6,5.0,6.0,13.931568569324174,0.0,0.0,0,0,0,1,0,0,1,7,0,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java/,"org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.AcquireOp",release-4.1.0,241,127,19,12,8,127,51,332,135.0,383.0,2710.4203736704685,10.456692913385826,28342.03351365655,2,1,1,1,1,5,9,3,5,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java/,"org.apache.bookkeeper.bookie.LedgerCacheImpl",release-4.1.0,742,510,104,75,21,209,173,832,230.0,1005.0,7884.717501199098,41.79904306220096,329573.6463659106,4,1,1,1,0,21,24,8,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges.Builder",release-4.1.0,178,117,42,17,5,47,21,131,52.0,152.0,866.4668371574461,6.968085106382978,6037.614663171566,3,0,1,1,0,2,4,1,2,yes,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java/,"org.apache.hedwig.server.persistence.BookkeeperPersistenceManager.RangeScanOp",release-4.1.0,146,83,17,11,11,77,56,205,88.0,261.0,1685.9116524643348,14.642857142857144,24686.563482513477,2,1,1,1,1,2,6,3,2,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java/,"org.apache.bookkeeper.meta.SnapshotMap",release-4.1.0,101,48,6,1,2,17,8,61,19.0,69.0,293.1069984276074,3.588235294117647,1051.7368767108264,1,0,1,1,0,0,2,1,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/,"org.apache.bookkeeper.bookie.Bookie.SyncThread",release-4.1.0,72,42,9,6,3,30,7,51,33.0,58.0,292.57485892279027,2.55,746.0658902531152,2,0,0,1,0,0,1,20,1,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java/,"org.apache.hedwig.server.delivery.ChannelEndPoint",release-4.1.0,56,30,10,3,2,21,2,36,23.0,38.0,171.8953543301665,1.7142857142857142,294.6777502802854,1,0,0,1,0,0,1,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java/,"org.apache.hedwig.server.persistence.ReadAheadCache.HashSetCacheKeyFactory",release-4.1.0,7,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.ShowCmd",release-4.1.0,43,34,7,4,4,32,9,56,36.0,65.0,336.0451250937503,3.5,1176.157937828126,2,0,1,1,0,7,9,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java/,"org.apache.bookkeeper.bookie.LedgerDescriptorReadOnlyImpl",release-4.1.0,23,11,4,0,0,5,0,9,5.0,9.0,20.89735285398626,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java/,"org.apache.hedwig.server.jmx.HedwigMBeanInfo",release-4.1.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java/,"org.apache.bookkeeper.meta.LedgerManagerFactory",release-4.1.0,69,39,10,9,7,28,23,86,35.0,109.0,559.0918488470013,10.75,6010.237375105264,3,1,1,1,0,1,4,1,1,yes,no
